id,code,description,name
frst-110,FRST 110,Current issues and cases in Forestry and Land and Food Systems are examined with a focus on integration of first-year subjects and exposure to both First Nations and Western perspectives. Equivalency: LFS 110.,Land One: First-year Integrative Seminar
frst-150,FRST 150,"Communicating concepts of forestry and links to human and environmental activities through writing, elements of argumentation, evaluating evidence, and searching for and citing references to back up claims; small-class experience. Credit will be granted for only one of NRES 150, FRST 150, or LFS 150. Equivalency: LFS 150, NRES 150.",Scholarly Writing and Argumentation in Forestry
frst-200,FRST 200,"The structure, diversity and development of trees and other plants, with emphasis on the angiosperms. Credit will be granted for only one of NRES 200 or FRST 200. Prerequisite: BIOL 121. Equivalency: NRES 200.",Forest Plant Biology I
frst-201,FRST 201,"The structure and function of forest ecosystems, including: energetics; productivity; nutrient, carbon and water cycling; soils; the physical environment; population and community ecology; disturbance ecology; ecological succession; biological diversity and ecological resilience. Equivalency: NRES 201.",Forest Ecology
frst-202,FRST 202,"The Ecosystem concept; energy biomass and nutrient cycling; the physical environment; population and community ecology; succession, Biogeoclimatic classification and some coastal ecosystems. Available only through Distance Education.",Forest Ecology
frst-203,FRST 203,Ecological and silvical characteristics of forest trees; assessment of ecological site quality and biogeoclimatic classification; application of silvics in silviculture. A plant herbarium of at least 50 species is required. Only available through Distance Education. Prerequisite: FRST 202.,Silvics of Forest Trees of Western Canada
frst-210,FRST 210,"The functional biology of trees and other forest plants in their environment, with an emphasis on gymnosperms. Credit will be granted for only one of NRES 210 or FRST 210. Prerequisite: One of FRST 200, NRES 200. Equivalency: NRES 210.",Forest Plant Biology II
frst-211,FRST 211,"Forest classification and the application of silvics in forest management, including world forest classification systems, the Biogeoclimactic Ecosystem Classification system, and ecosystem diagnosis in the field. Credit will be granted for only one of NRES 211 or FRST 211. Prerequisite: One of FRST 201, NRES 201. Equivalency: NRES 211.",Forest Classification and Silvics
frst-231,FRST 231,"Basic theories of probability and statistics. Sampling distribution, methods of estimation and hypothesis testing; goodness of fit and tests for independence; analysis of variance, regression and correlation. Credit will be granted for only one of NRES 231 or FRST 231. Corequisite: One of MATH 100, MATH 180, MATH 184, MATH 190. Equivalency: NRES 231.",Introduction to Biometrics
frst-232,FRST 232,"Techniques involved in solving forestry problems with microcomputers using word processing, spreadsheet, procedural language, and database management tools. Credit will be granted for only one of NRES 232 or FRST 232. Equivalency: NRES 232.",Computer Applications in Forestry
frst-239,FRST 239,"An introduction to measurement of individual trees and stands; use of aerial photographs, maps, and various measurement instruments. Prerequisite: One of FRST 231, NRES 231 and one of FRST 232, NRES 232.",Tree and Stand Level Measurements
frst-302,FRST 302,Population genetics and conservation of genetic resources; principles of genetics and their application to forestry.,Forest Genetics
frst-303,FRST 303,"Introduction to growth of trees and forests with emphasis on evolutionary, ecological and environmental aspects. Not available for credit to undergraduate students in the Faculty of Forestry.",Into the Woods: An Introduction to Forest Science
frst-304,FRST 304,"Forests can provide natural solutions to climate change and social well-being through innovative management and restoration including protection of mother trees and soils, carbon and conservation financing, and emergence of value-added industries. For students without strong science backgrounds. Not available for credit to Faculty of Forestry students.",Forest Stewardship in a Changing Climate
frst-305,FRST 305,"Silviculture concepts and principles; stand dynamics; artificial and natural regeneration; cultural techniques for forest stand establishment and stand tending; silvicultural systems; decision making and development of prescriptions; connections to forest planning. Prerequisite: One of FRST 201, NRES 201 and one of FRST 350, FRST 351, UFOR 400.",Silviculture
frst-307,FRST 307,"Concepts of disturbance ecology with special reference to insects and diseases in the forests of British Columbia; forest health problems in the biogeoclImatic zones of BC; present management strategies and future potentials in a scenario of climate change. Prerequisite: One of FRST 210, NRES 210 and one of FRST 211, NRES 211.",Biotic Disturbances
frst-308,FRST 308,An introduction to insects that cause damage to forests and forest products; how insects live; life cycles and attack symptoms of representatives of major groups of insects; principles for control and management. Available only through Distance Education.,Forest Entomology
frst-309,FRST 309,Biology and management of forest tree diseases. Available only through Distance Education.,Forest Pathology
frst-310,FRST 310,"The diversity and interactions of soil organisms (bacteria, protozoa, fungi, animals, plants) in natural and managed ecosystems; roles in primary production, nutrient cycling, decomposition and reclamation; responses to environmental change. Prerequisite: BIOL 121. Equivalency: APBI 342.",Soil Biology
frst-311,FRST 311,"Mechanisms and regulation of functional processes contributing to the assimilation, transport and utilization of water, mineral nutrients and carbon by plants. CHEM 203, CHEM 213, or CHEM 233 and CHEM 235 is recommended. Equivalency: BIOL 351, APBI 351.",Plant Physiology I
frst-318,FRST 318,"Practical problem solving of economic issues related to forestry and conservation, touching on investment analysis, capital budgeting, non-timber economics, ecosystem services, and forest certification. Completion of FRST 232 or NRES 232 or intermediate knowledge of MS Excel essential. Prerequisite: One of ECON 101, FRST 101.",Forest and Conservation Economics
frst-319,FRST 319,"Introduction to the economics of production, distribution and consumption of goods and services produced by, and dependent on, the forest resource. Available only through Distance Education.",Principles of Forestry Economics
frst-320,FRST 320,"Ecological effects of fire and climatic (wind, temperature, and snow) disturbances; fire danger rating, principles of fire management and prescribed fire use; windthrow risk modelling and management. Prerequisite: One of FRST 210, NRES 210 and one of FRST 211, NRES 211.",Abiotic Disturbances: Fire and Climate
frst-339,FRST 339,Obtaining and forecasting information for stands and forests. Prerequisite: FRST 239.,Forest Level Measurement and Productivity
frst-350,FRST 350,"Field study concentrating on outdoor skills, forest measurements, site diagnosis, and an integrated overview of the ecological, social and economic basis for forest management. Fees will be assessed to meet expenses. Credit will be granted for only one of FRST 350 or 351. Prerequisite: One of FRST 201, NRES 201.",Foundational Field School
frst-351,FRST 351,"Field study at an interior BC location concentrating on land use, management and silviculture. Fees will be assessed to meet expenses. Students with FRST 351 and FRST 350 can only count 2 credits toward their program requirements. Prerequisite: FRST 210 or NRES 210. Corequisite: FRST 211 or NRES 211.",Interior Field School
frst-370,FRST 370,"Community forests and community forestry throughout the world, with special attention to participation by aboriginal peoples; emphasis is on forms of governance, public participation, and adaptive learning.",Community Forests and Community Forestry
frst-385,FRST 385,Measurement and analysis of hydrological processes in response to forest management activities. Prerequisite: Third- or fourth-year standing.,Watershed Hydrology
frst-386,FRST 386,"Effects of forest management activities on fish and aquatic ecosystems. Prerequisite: Third- or fourth-year standing in Forestry, Science, Applied Science or Applied Biology.",Aquatic Ecosystems and Fish in Forested Watersheds
frst-395,FRST 395,"Ecology, management, and conservation of terrestrial vertebrate wildlife, focusing primarily on socio-economically important, forest-dwelling species of mammals, birds, amphibians and reptiles. Prerequisite: One of FRST 201, BIOL 230, BIOL 306.",Wildlife Ecology and Management
frst-399,FRST 399,"Lectures and seminars in research philosophies and the scientific method, with special emphasis on field research. Prerequisite: One of FRST 150, LFS 150, NRES 150, WRDS 150, ENGL 110, ENGL 111, WOOD 225, NRES 225.",Introduction to Research Methods
frst-402,FRST 402,"Multi-disciplinary course in which students, individually and in groups, examine, integrate and apply subject-specific knowledge through the lens of language and the framework of the language sciences, with a focus on themes of real-world importance. Prerequisite: Fourth-year standing or permission of the instructor. Equivalency: APSC 402, ASTU 402, LFS 402, LLED 402, PHAR 402.",Living Language: Science and Society
frst-403,FRST 403,"Study of the functional and dynamic characteristics of forest ecosystems and their response to forest management using ecosystem-level microcomputer simulation models. Prerequisite: One of FRST 201, NRES 201.",The Sustainability of Production in Managed Forest Ecosystems
frst-404,FRST 404,Fundamental silvicultural problems; the application of research findings to the practice of silviculture. Prerequisite: FRST 305.,Advances in Silviculture
frst-406,FRST 406,"Hereditary, physiological, anatomical, environmental, and microbiological factors influencing forest tree diseases. Given in alternate years.",Advanced Forest Pathology
frst-408,FRST 408,"Role of climate and climate change in the population dynamics, outbreak potentials and resultant impacts to forest ecosystems associated with herbivorous forest insects. Prerequisite: One of FRST 307, APBI 327, BIOL 327.",Advanced Forest Insect Ecology
frst-410,FRST 410,"Current concepts, methods, and applications of landscape ecology with emphasis on spatial patterning, spatial heterogeneity, and dynamics; problem-solving approaches to natural resource issues through the application of landscape ecological principles and tools. Prerequisite: Fourth-year standing.",Introduction to Landscape Ecology and Management
frst-411,FRST 411,Concepts of complex adaptive systems (CAS); exploration of how CAS can be used to manage natural and social environments for multiple goals under changing climatic and socio-economic conditions. Prerequisite: Third-year standing.,"Complex Adaptive Systems, Global Change Science, and Ecology Sustainability"
frst-413,FRST 413,"The structure, biosynthesis, distribution and biological function of secondary plant metabolites. Prerequisite: Either (a) all of BIOL 200, BIOL 201 and one of BIOL 209, BIOL 210; or (b) one of FRST 200, NRES 200 and one of FRST 210, NRES 210. Equivalency: BIOL 462.",Ecological Plant Biochemistry
frst-415,FRST 415,"The development, implementation, and analysis of forest policy. Prerequisite: Third- or fourth-year standing.",Sustainable Forest Policy
frst-421,FRST 421,Introduction to the quantitative tools necessary in forest management. Available only through Distance Education.,Quantitative Forest Management
frst-422,FRST 422,Modelling techniques used in strategic and tactical forest resources analyses. Prerequisite: Fourth-year standing in the BSF degree.,Mathematical Modelling in Forest Resource Analysis
frst-423,FRST 423,"Forest management designs to identify and integrate economic, social, and environmental objectives across a forested landscape both strategically and tactically. Prerequisite: FRST 422.",Forest Management Planning
frst-425,FRST 425,"Analyze and interpret existing management plans, prescribe solutions for achieving specific forest management goals at multiple scales, use basic tools to evaluate the financial implications of such solutions, and create a forest management plan for a virtual forest. Offered entirely online.",Forest Planning
frst-430,FRST 430,"Analysis of variance, multiple regression and analysis of covariance. Design and analysis of experiments. Prerequisite: One of FRST 231, NRES 231, BIOL 300, STAT 200. And FRST 399 or equivalent. Restricted to students with 4th year standing or by permission of instructor.",Advanced Biometrics
frst-432,FRST 432,"The genomic basis of adaptation to environments. Topics progress through community structure, life history patterns, stress responses, and variation and adaptation.",Ecological Genomics
frst-436,FRST 436,"Techniques of growth and yield projection and discussion of modelling approaches. Exploration of stand dynamics, quantitative implications of management treatments and environmental limitations to tree and stand growth. Prerequisite: FRST 339.",Growth and Yield
frst-439,FRST 439,"The socio-economic, biological and technological aspects of forestry within the international frame, in both the developed and developing world. Regional studies and the role of national and international agencies.",International Forestry
frst-443,FRST 443,"Basic biological concepts related to interpretation of remote sensing data for land management, including the use of films and filters, and interpretation of air photographs, and other imagery.",Remote Sensing for Ecosystem Management
frst-444,FRST 444,"Ecological, economic and social benefits of incorporating trees into agricultural landscapes. Lectures and groupwork designing agroforestry systems in temperate and tropical contexts. Prerequisite: One of FRST 201, NRES 201, APBI 260. Equivalency: APBI 444.",Agroforestry
frst-449,FRST 449,"In special cases and with the approval of the instructor concerned, a student may carry on directed studies of specific problems in forestry.",Directed Studies in Forestry
frst-452,FRST 452,Site diagnosis and preparation of management options in coastal forests. Extrasessional course; fees will be assessed to meet expenses. Prerequisite: Third or fourth year-standing in the B.S.F. program.,Coastal Field School
frst-456,FRST 456,"(Go Global Seminar Series) An intensive one-month field school in Chile focused on fast-growing industrial forest plantations, innovative wood products, land use strategies for natural and planted forests, and their impact on society. Prerequisite: Third-year standing.",The Role of Natural and Planted Forests in the Global Bioeconomy
frst-470,FRST 470,Social aspects of forestry and forest communities. Prerequisite: Third- or fourth-year standing.,Forests and Society
frst-475,FRST 475,"Application of Indigenous worldviews and knowledges to ecology. Colonial history of modern ecology, foundations and examples of Indigenous ecologies, restoration applying multiple worldviews, and Indigenized, culturally appropriate ecological research and decision-making processes. Prerequisite: One of BEST 203, BIOL 230, FRST 201, APBI 260, GEOS 207. and third-year standing.",Indigenous Ecologies
frst-485,FRST 485,"Effects of land management on quality, quantity and timing of water flow. Prerequisite: FRST 385.",Forest Watershed Management
frst-490,FRST 490,"Methodologies for visual analysis, perceptions, planning & management of urban, natural and working landscapes, and implications for sustainable land-use management & community engagement. Credit will be granted for only one of FRST 490 or FRST 551. Equivalency: LARC 542.",Visual Resource Management and Planning for Aesthetics
frst-491,FRST 491,GIS-based spatial planning and 3D landscape visualization for forest management. Prerequisite: Third- or fourth-year standing.,Visualization and Forest Design
frst-492,FRST 492,How individuals perceive their environment. Emphasis will be given visual perception in the context of natural resource issues and the effects of those perceptions on individuals including issues of human wellbeing. Prerequisite: Third-year standing.,Environmental Perception
frst-495,FRST 495,"Principles, problems, and practices of managing natural habitats for biological diversity; current issues in biological diversity important to researchers, policymakers, and the general public. Prerequisite: One of FRST 201, NRES 201 and FRST 395.",Biological Diversity and Conservation
frst-497,FRST 497,Preparing professional reports and presentations; professionalism and professional ethics. Prerequisite: Fourth-year standing.,Communications and Professionalism
geog-121,GEOG 121,"Human geography of the modern world with particular attention to human-environment relationships, urbanization, and regional growth; trade and communications; environment and war; environmental governance and sustainability.","Geography, Environment and Globalization"
geog-122,GEOG 122,"The human geography of the modern world since 1945: global interdependence in economic geography, geopolitics, and cultural geography; consequences of modernization, including demography, urbanization and environmental effects; regional case studies; reactions to modernization.","Geography, Modernity and Globalization"
geog-202,GEOG 202,"Science, impacts, and parallel crises of the climate emergency; decarbonization challenge and measuring progress towards emission targets; strategies and tools for climate action at local, national, and global levels. Credit will only be granted for one of GEOG 202 or ENST 202. Equivalency: ENST 202.",Climate Emergency
geog-210,GEOG 210,An integrated approach to the physical and human geography of the Lower Mainland of British Columbia. Field trips.,Vancouver and Its Region
geog-211,GEOG 211,"The demographic, economic, ecological, and technological factors that underlie current environmental challenges, considering their effects to date and their possible impact in the future. Credit will only be granted for one of GEOG 211 or ENST 211. Equivalency: ENST 211.",The State of the Earth
geog-220,GEOG 220,"Introduction to the political geographic perspectives on today's interdependent world through three themes: borders, regions, and flows.",Geopolitics
geog-250,GEOG 250,An interdisciplinary introduction to the city in the context of contemporary globalization. Analysis of urban patterns and processes from the theoretical perspectives of various disciplines and methodologies. Credit will be granted for only one of GEOG 250 or URST 200. Equivalency: URST 200.,Cities
geog-257,GEOG 257,"Relationships among individuals, social groups, and place, with a focus on everyday spaces. Examines how social identities are intertwined with the places we live.","People, Places & Landscapes"
geog-281,GEOG 281,"An introduction to changing geographies (social, economic, and political) of the Pacific Rim, with special emphasis on the relationships between Canada and Japan.",Geography of the Pacific Rim
geog-290,GEOG 290,"Selected topics in human geography focusing on the regional distribution of natural resources, population, urban systems, and economic activities.",Introduction to the Geography of Canada
geog-302,GEOG 302,Concepts and debates in the interdisciplinary field and practice of climate justice; the role of systemic processes and patterns underlying climate change and climate injustices. Credit will only be granted for one of GEOG 302 or ENST 302. Equivalency: ENST 302.,Climate Justice
geog-310,GEOG 310,"Concepts of environment, resources and sustainability; the roles of physical and human geography in understanding the interaction of humans and the environment; introduction to management of environment-resource systems. Credit will be granted for only one of GEOG 310 or ENST 310. Equivalency: ENST 310.",Environment and Sustainability
geog-311,GEOG 311,"The impact of urban development on the natural environment and vice versa. Study of the ecology and metabolism of cities and green urban design, using global and local case studies. Credit will be granted for only one of GEOG 311 or ENST 311. Equivalency: ENST 311.",Urban Environments
geog-312,GEOG 312,"Climates over the geological, historical and instrument periods. Theories of climatic change. Monitoring and modelling the climate system. Impacts of change on environmental and socio-economic systems. Credit will be granted for only one of GEOG 312 or ENST 312. Recommended pre-requisites: one of GEOS 102, GEOB 102, GEOS 200, GEOB 200, GEOS 204, GEOB 204, ATSC 201, EOSC 112. Equivalency: ENST 312.",Climate Change: Science and Society
geog-313,GEOG 313,"Economic, social, political and cultural structures and institutions that shape contemporary socioecological challenges. Credit will be granted for only one of GEOG 313 or ENST 313. Recommended pre-requisite: GEOG 121. Equivalency: ENST 313.",Environmental Justice and Social Change
geog-314,GEOG 314,"Concepts and techniques employed in environmental research; challenges in the areas of climate change, water use, knowledge translation and natural hazards. Credit will be granted for only one of GEOG 314 or ENST 314. Restricted to students with at least third-year standing. Prerequisite: One of GEOG 211, GEOB 102, GEOB 103, GEOS 102, GEOS 103 or EOSC 110 or EOSC 112. Equivalency: ENST 314.",Analysing Environmental Problems
geog-315,GEOG 315,"Engage in primary field-based research in British Columbia on important issues concerning intercultural understanding, engagement with local communities and sustainability. Focus will shift on a bi-annual basis in accordance with location and available community partners. Special fees and liability insurance are required. Third year standing is recommended. Prerequisite: Permission of the instructor.",Human and Environmental Geography Field Course
geog-316,GEOG 316,"The role of geophysical events, human ecology, environmental perception, world social and political order in explaining the risk of natural disasters. Assessment of acceptable risk, disaster relief and reconstruction and contrasts between developed and developing nations. Credit will only be granted for one of GEOG 316 or ENST 316. Recommended pre-requisites: one of GEOB 102, GEOS 102 and one of GEOB 103, GEOS 103. Equivalency: ENST 316.",Geography of Natural Hazards
geog-318,GEOG 318,"Biophysical and human causes of short- and long-term environmental change at various spatial scales, including measurement, interpretation, and policy. Credit will only be granted for one of GEOG 318 or ENST 318. Recommended pre-requisite: GEOG 310. Equivalency: ENST 318.",Sustainability in a Changing Environment
geog-319,GEOG 319,"The principles, implementation, and role of environmental impact assessment in environmental management, in Canada and internationally. Credit will be granted for only one of GEOG 319 or ENST 319. Equivalency: ENST 319.",Environmental Impact Assessment
geog-321,GEOG 321,From the origins of urbanism to the modern era.,"Historical Geography of Urbanization: Cities, Space, and Power"
geog-327,GEOG 327,"Canada from the beginning of European contact to the mid-19th century, stressing the changing geographical patterns of settlement, economy, and culture.",Creating Canada
geog-328,GEOG 328,"The construction of Canadian political space after Confederation, aboriginal-newcomer relations, regional development and conflict, industrialization, urbanization, and war.",Constructing Canada
geog-329,GEOG 329,"Review of political geography and geopolitics; relations among space, power and politics; cases from current global affairs.",Political Geography
geog-342,GEOG 342,"An examination of some key postcolonial and anticolonial theories to engage with questions of geographical difference, uneven development, and the politics of knowledge production at the global scale.",Post- and Anti-colonial Geographies
geog-345,GEOG 345,"A consideration of major intellectual issues and debates in the development of contemporary human geography, in relation to developments in other fields and changes in politics, culture and society.",Theory and Practice in Human Geography
geog-346,GEOG 346,Topics will vary from year to year. Consult the departmental website or contact the Geography undergraduate advisor for details.,Topics in Geography
geog-350,GEOG 350,City systems and theories of urban location; internal spatial structure of the city; commercial and industrial location; social areas; neighbourhood and land use change; urban trends and public policy.,Urban Worlds
geog-351,GEOG 351,Effects of urbanization and global environmental change on the geographies of cities across the world. Specific focus on urban environmental justice and inequality. Credit will be granted for only one of GEOG 351 or ENST 351. Equivalency: ENST 351.,Urban Environmental Politics
geog-352,GEOG 352,"The role of cities in development and global capital circulation, and urban politics with emphasis on regions in Latin America, Africa, and Asia. Credit will be granted for only one of GEOG 352 or URST 352. Equivalency: URST 352.",Urbanization in the Global South
geog-353,GEOG 353,"International regimes regulating migration, changes in global demographics, immigration policies of nation states, international migration patterns, settlement policies and outcomes.",Geographies of Migration and Settlement
geog-355,GEOG 355,"Examines the geographies of urban Indigenous communities in settler colonial contexts, with a focus on urban Indigenous communities within Canadian cities.",Geographies of Urban Indigeneity
geog-357,GEOG 357,"The development of social and behavioural geography, focusing on how places, landscapes, and environments both reflect and shape social life. Third year standing is recommended.","Society, Culture & Space"
geog-361,GEOG 361,"History and methods of economic geography. Location of resource industries, manufacturing, and service activities with emphasis on British Columbia in its North American and world setting. Recommended for students with no previous exposure to geographies of the economy, before taking other courses in the 36x and 46x series. Recommended pre-requisite: GEOG 122.",Critical Geographies of the Economy
geog-362,GEOG 362,"Geographical approaches to economic development; models of economic development and spatial change; influences on spatial economic change; case studies from the developed, third, and socialist worlds. Recommended pre-requisites: either (a) GEOG 122 or (b) GEOG 260.",Geography of Economic Development
geog-364,GEOG 364,"Forms of economic development; changing location of economic activities and functions; implications for government and politics; local strategies for growth and equity. Recommended pre-requisites: one of GEOG 121, GEOG 122.","Globalization, Cities, and Regions"
geog-371,GEOG 371,Formulating a research problem and selecting an appropriate research strategy. Research strategies range from social scientific survey methods to ethnography. Priority enrolment for honours and major students in Geography.,Research Strategies in Geography
geog-374,GEOG 374,Introduction to statistical techniques and their application to geographical problems. Priority enrolment for honours and major students in Geography.,Statistics in Geography
geog-379,GEOG 379,As announced by the department a year in advance.,Field Course in Human Geography
geog-380,GEOG 380,"A comparative regional analysis stressing the historical development and changing cultural, economic, and political patterns of the area. Special reference to India, Indonesia, China, and Japan.",Geography of Asia
geog-390,GEOG 390,"A geographical analysis of selected regions not regularly included in the Department's offerings in regional geography (e.g., tropical Africa, Oceania). Students should consult the Department regarding regions to be covered.",Geography of Selected Regions
geog-391,GEOG 391,Present-day human geography of the cities and regions of Europe. Restricted to students with at least second-year standing.,"Cities, Places, and Borders in Modern Europe"
geog-395,GEOG 395,Socio-ecologies in 1491; Spanish colonialism and biological imperialism; contemporary coloniality and neoliberalism; and social movements.,"Culture, Nature, and Coloniality in Latin America"
geog-396,GEOG 396,A comparative regional analysis of Africa with a focus on contemporary environmental and development issues. Credit will be allowed for only one of GEOG 396 and 496. Equivalency: GEOG 496.,Geography of Africa
geog-402,GEOG 402,Topics will vary from year to year. Consult the departmental website or contact the instructor for details. Restricted to Certificate of Climate Studies and Action students. Credit will only be granted for one of GEOG 402 or ENVR 402. Prerequisite: ENVR 401. Equivalency: ENVR 402.,Climate Studies and Action Capstone
geog-410,GEOG 410,"Geographical analysis of society-environment relations. Relates resource management to environmental politics, political economy, and sustainable development. Perspectives drawn from political ecology and political economy, environmental history and environmental philosophy. Registration is restricted to Geography Majors and Minors or permission of instructor. Recommended: GEOG 310. Credit will only be granted for one of GEOG 410 or ENST 410. Equivalency: ENST 410.",Environment and Society
geog-412,GEOG 412,"Interdisciplinary analysis of critical water issues, in Canada and internationally. Focus on social science perspectives. Emphasis on presentation, research, and essay-writing skills. Credit will only be granted for one of GEOG 412 or ENST 412. Prerequisite: GEOG 310. Equivalency: ENST 412.","Water Management: Theory, Policy, and Practice"
geog-419,GEOG 419,"Details available from Geography Undergraduate Advisor. Not necessarily offered each year. Registration is restricted to Major or Honours in Geography with at least 75 credits, or permission of instructor. Recommended: GEOG 313 and 314. Credit will only be granted for one of GEOG 419 or ENST 419. Equivalency: ENST 419.",Research in Environmental Geography
geog-423,GEOG 423,An examination of how attitudes toward human nature and non-human nature have changed from Mesolithic times to the present in Western society. Credit will only be granted for one of GEOG 423 or ENST 423. Equivalency: ENST 423.,Development of Environmental Thought
geog-424,GEOG 424,An introductory survey of contemporary feminist approaches to human geography.,Feminist Geographies
geog-426,GEOG 426,"Colonialism, resistance, and land use in early British Columbia. Prerequisite: GEOG 327 and GEOG 328 are recommended.","Historical Geography of British Columbia, I"
geog-429,GEOG 429,Details available from Geography Undergraduate Advisor. Not necessarily offered each year. Recommended: Major or Honours in Geography with at least 75 credits.,Research in Historical Geography
geog-432,GEOG 432,"Decolonial theory and practice through an examination of critical Indigenous and critical race scholarship and activism. Prerequisite: Restricted to students with 3rd year standing or higher. GEOG 121, or equivalent, is strongly recommended for students with 3rd year standing.",Radical Traditions of Decolonization and Liberation
geog-442,GEOG 442,"Self-directed, collaborative studies in human geography, in a group-learning environment, initiated and coordinated by senior undergraduate students with the supervision of a faculty advisor. Course structure, enrolment, and delivery methods will comply with the Handbook for Student Directed Seminars. Credit will be granted for only one of GEOG 442 or GEOG 443. Prerequisite: Third-year standing in human geography. Equivalency: GEOG 443.",Student Directed Seminar in Human Geography
geog-446,GEOG 446,See the departmental undergraduate advisor for details.,Topics in Geography
geog-447,GEOG 447,"Based on project work outside the university, on a topic to be agreed upon by the supervising faculty member and the student. Prerequisite: Open to upper-level students enrolled in the Geography Majors or Honours programs. Permission of the Undergraduate Advisor and supervising faculty member is required.",Directed Studies: Off Campus Research
geog-448,GEOG 448,Investigation of a topic to be agreed upon by the supervising faculty member and the student. Prerequisite: Open to upper-level students enrolled in the Geography Majors or Honours programs. Permission of the Undergraduate Advisor and supervising faculty member is required.,Directed Studies in Geography
geog-450,GEOG 450,"Historical, legal, and quantitative analysis of urban research. Emphasis on spatial, racial, and political dynamics of urban inequality. Credit will be granted for only one of GEOG 450 or URST 450. Prerequisite: Fourth-year standing. Equivalency: URST 450.",Urban Research
geog-451,GEOG 451,"Formulation of key elements of urban studies theory, concepts, and methods to a community-engaged urban challenge. Credit will be granted for only one of GEOG 451 or URST 451. Prerequisite: One of GEOG 250, URST 200 and all of PLAN 211, PLAN 231, GEOG 371. Equivalency: URST 451.",Urban Studies Capstone I
geog-453,GEOG 453,Political organization of space; territorial and spatial patterns of power and identity; contemporary geopolitical struggles. Prerequisite: At least third-year standing.,Political Geographic Analysis
geog-456,GEOG 456,"The complex interrelations between film and the city; dominant urban theories, film technologies and viewing practices and the intersections between them. Credit will be granted for only one of GEOG 456, FINA 445, or ARTH 445.",Film and the City
geog-457,GEOG 457,"Theories of social change in the global city; labour markets; poverty and inequality; social polarization; housing markets; gentrification and housing affordability; immigration and segregation; diversity and multiculturalism; transnationalism; the entrepreneurial state; the convivial city. Recommended pre-requisites: One of GEOG 350, GEOG 357.",Social and Behavioural Geography
geog-461,GEOG 461,"Principal theories and debates in urban political economy and political-economic geography, with particular emphasis on global transformations.",Urban Political-Economic Geographies
geog-481,GEOG 481,A critical analysis of significant human adaptations to changing ecological conditions in the Japanese archipelago.,Geography of Japan
geog-484,GEOG 484,"A critical analysis of significant features of political, economic, and cultural development in the region from pre-colonial times to the present.",Geography of Southeast Asia
geog-485,GEOG 485,"An introduction to the changing cultural, social and economic geography of China.",Geography of China
geog-491,GEOG 491,Maritime issues and ocean governance from a geographical perspective. Uses political geography and political ecology approaches to examine conflicts and propose initiatives to promote ocean sustainability and social inclusion.,"Global Ocean: Geography, Sustainability, and Governance"
geog-492,GEOG 492,"Moves beyond continental landmasses to consider global oceanic connections, mobility and materiality, and seascape epistemologies or ways of knowing through a cultural, social and historical geographies perspective. Restricted to students with third-year standing or above.","Oceanic Geographies: Movement, Materiality, and Mobility"
geog-493,GEOG 493,"Political, economic, and social geographies of post Cold War Europe with a special emphasis on east-central Europe: societal transformations in the formerly socialist states; European Union and NATO enlargement; the external relations of these two organizations. Restricted to students with at least second-year standing.",Contemporary Europe: Identity and Geopolitics
geog-495,GEOG 495,The politics of North-South solidarity in theory and practice through community service learning models.,Geographies of Social Movements in the Americas
geog-496,GEOG 496,A comparative regional analysis of Africa with a focus on contemporary environmental and development issues. Credit will be allowed for only one of GEOG 396 and 496. Equivalency: GEOG 396.,Geography of Africa
geog-497,GEOG 497,"Physical and biological characteristics of the circumpolar Arctic, emphasizing terrestrial environments and the impacts on and by humans, including: glacial history; climatology; biogeography/ecology of arctic tundra; human-environment interactions, settlement and exploration; and current environmental, social and economic problems. Prerequisite: At least third-year standing.",The Arctic
geog-498,GEOG 498,"Critical analysis of economic, social, and political development and processes defining the modern Middle East region.",Geographies of the Middle East
geos-102,GEOS 102,"Energy and water in the Earth-Atmosphere system, global climates and climate change, ecosystem properties and processes, human impacts. Credit will be granted for only one of GEOB 102 or GEOS 102. Equivalency: GEOB 102.",Our Changing Environment: Climate and Ecosystems
geos-103,GEOS 103,Physical processes acting at the Earth's surface; water cycle; landforms; human impacts. Credit will be granted for only one of GEOB 103 or GEOS 103. Equivalency: GEOB 103.,Our Changing Environment: Water and Landscapes
geos-200,GEOS 200,"Physical principles underlying weather and climates. Thermal, moisture and wind climates from the scale of plants and animals to the globe. Daily weather systems and climate change. Credit will be granted for only one of GEOS 200, GEOB 200, or APBI 244. Equivalency: APBI 244, GEOB 200.",Introduction to Atmospheric Environments
geos-204,GEOS 204,"Basic principles and processes of climatology. Energy and water balance concepts. Weather systems and climate change, microclimate of soils, crops, forests, and animals. Credit will be granted for only one of GEOS 204, GEOB 204, or APBI 244. Equivalency: GEOB 204.",Introduction to Biometeorology
geos-206,GEOS 206,Earth surface processes shaping the landscape; identification of hazards and hazardous areas associated with these processes; introduction to techniques for measurement and analysis at various spatial and time scales; field trips are required. Credit will be granted for only one of GEOB 206 or GEOS 206. Equivalency: GEOB 206.,Landscapes: Introduction to Geomorphology
geos-207,GEOS 207,"Geographical ecology emphasizing contemporary species distributions at local to global spatial scales, population and community dynamics, and human impacts. Labs emphasize collecting data (sometimes outdoors) and interpreting results. Credit will be granted for only one of GEOB 207 or GEOS 207. Equivalency: GEOB 207.",Introduction to Biodiversity
